ref_no,name,pointx_class,feature_easting,feature_northing,description,x_normed,y_normed,longitude,latitude
54994323,Colwood Motors UK Ltd,2130212,553906.1,187422.4,"A place of vehicle repair, testing and servicing, a type of repair and servicing",0.8618491442332498,0.6956033125261974,0.2170169950206221,51.56359616944062
63937526,Electricity Sub Station,6340433,512630.4,187374.7,"A place of electrical features, a type of infrastructure and facilities",0.1537627934978928,0.6988591949790984,-0.3765228547405955,51.574601574159885
125764964,Red Pencil,2080125,534357.6,175243.0,"A place of literary services, a type of it, advertising, marketing and media services",0.5277715661821623,0.4171585231842847,-0.0676748041485106,51.45811616997028
124005268,Charles Scott Ltd,2130204,509837.8,179681.4,"A place of building repairs, a type of repair and servicing",0.1037928958458759,0.5217228761427876,-0.4208603130361187,51.5049049836664
68730498,Sport England,2110194,530092.5,181560.0,"A place of property development services, a type of property and development services",0.4522232734153264,0.5659956271028991,-0.12843907725638,51.51817545227353
54710225,Brechin Productions Ltd,2080122,519374.5,176645.6,"A place of film and video services, a type of it, advertising, marketing and media services",0.2725208566268169,0.4510314825933772,-0.2806495020451117,51.47487632425901
22048838,Bus Stop (Hammersmith Bridge Road),10590732,523433.6,178647.7,"A place of bus stops, a type of bus transport",0.337249505461426,0.4965730534377088,-0.2257929243708755,51.492134874830086
22045375,Bus Stop (Cheam Leisure Centre),10590732,523784.9,164760.2,"A place of bus stops, a type of bus transport",0.3437688139674895,0.1838995819691631,-0.2251477255679271,51.36802602906123
22045097,Bus Stop (Great Cambridge Road Forty Hill),10590732,534590.7,197397.1,"A place of bus stops, a type of bus transport",0.530110948653995,0.9260912417441742,-0.05713409195639,51.65993481793593
151365946,Whelan's,1020034,505562.7,184189.6,"A place of pubs, bars and inns, a type of eating and drinking",0.0308076029930334,0.6274201039979155,-0.480574558201098,51.54764282717127
159827272,Farnborough Common,3180252,542952.4,165249.9,"A place of commons, a type of recreational attractions",0.6725139760901346,0.1947208029817268,0.0494127199613643,51.36784174824521
129138814,Rejoice Hair World,9480677,532816.8,185363.6,"A place that sells cosmetics, toiletries, perfumes and hairdressing supplies, a type of retail",0.5022447750924572,0.6496017944738363,-0.0851603364605565,51.55065953698193
22041871,Bus Stop (Sloane Square),10590732,528257.4,178643.7,"A place of bus stops, a type of bus transport",0.4193687107594392,0.4995638431647993,-0.1570158833838772,51.49226132111142
48944462,Argos,9480704,526348.2,192150.9,"A place that sells mail order and catalogue stores, a type of retail",0.3913666465984343,0.8044816530910495,-0.1756185157351313,51.61357122922136
161929992,L D B Roofing,2030060,530318.1,167888.8,"A place of roofing and chimney services, a type of construction services",0.4545798572288638,0.2544323730330459,-0.1315185637516427,51.39456517904376
125854970,London Kebabs,1020018,516092.5,173351.9,"A place of fast food and takeaway outlets, a type of eating and drinking",0.2162896705943063,0.3795017616204642,-0.32873454217153,51.44718210815146
47973176,McDonald's Restaurant,1020018,540307.6,169304.0,"A place of fast food and takeaway outlets, a type of eating and drinking",0.6288294486969984,0.288781139898721,0.0145913211186444,51.40577734508961
54522479,George Watt Partnership,2040063,524380.2,169827.0,"A place of architectural and building related consultants, a type of consultancies",0.3553109142513116,0.2985465215076299,-0.2137439261616061,51.41335569805637
127734423,Bridge House 188 Wood Lane,1010003,515505.4,177674.0,"A place of bed and breakfast and backpacker accommodation, a type of accommodation",0.2012574180786097,0.4773005856963214,-0.3398973452272678,51.4861558631199
129139381,Volunteer Centre,6350816,540440.3,169323.2,"A place of charitable organisations, a type of organisations",0.631822482153608,0.2911601771816338,0.017132789822372,51.40667789606159
