classname,class_idx
Forestry,245
Franchise and Holding Company Services,246
Frozen Foods,247
"Fruit, Flower and Vegetable Growers",248
Fuel Distributors and Suppliers,249
Fundraising Services,250
Funeral and Associated Services,251
Furniture,252
Further Education Establishments,253
"Garages, Garden and Portable Buildings",254
Garden Centres and Nurseries,255
Garden Goods,256
Garden Machinery and Furniture,257
"Gardening, Landscaping and Tree Surgery Services",258
Gas Features,259
General Computer Services,260
General Construction Supplies,261
General Household Goods,262
General Manufacturing,263
General Purpose Machinery,264
Gifts and Cards,265
Giftware,266
Glass,267
Glass Fibre Services,268
Glaziers,269
"Golf Ranges, Courses, Clubs and Professionals",270
Green and New Age Goods,271
"Grocers, Farm Shops and Pick Your Own",272
"Gymnasiums, Sports Halls and Leisure Centres",273
Hail and Ride Zones,274
Hair and Beauty Services,275
Halls and Community Centres,276
"Headquarters, Administration and Central Offices",277
Health Authorities,278
Helipads,279
Herbs and Spices,280
Higher Education Establishments,281
"Historic Buildings Including Castles, Forts and Abbeys",282
Historic and Ceremonial Structures,283
Historical Research,284
Historical Ships,285
"Hobby, Sports and Pastime Products",286
Homeopaths,287
Horticultural Attractions,288
Horticultural Equipment,289
Hospices,290
Hospitals,291
Hostels and Refuges For The Homeless,292
Hotel Booking Agencies,293
"Hotels, Motels, Country Houses and Inns",294
Household Repairs and Restoration,295
Hydraulic Engineers,296
Ice,297
Ice Rinks,298
Image Consultants,299
Import and Export Services,300
Independent and Preparatory Schools,301
Industrial Coatings and Finishings,302
Industrial Engineers,303
Industrial Repairs and Servicing,304
Information Centres,305
Institutes and Professional Organisations,306
Instrumentation Engineers,307
Insurers and Support Activities,308
Internet Cafes,309
Internet Services,310
Interpretation and Translation Consultants,311
Introduction and Dating Agencies,312
Jewellery and Fashion Accessories,313
"Jewellery, Gems, Clocks and Watches",314
Job Centres,315
Kennels and Catteries,316
Lakes and Waters,317
Lampshades and Lighting,318
Language Schools,319
"Laseria, Observatories and Planetaria",320
"Leather Goods, Luggage and Travel Accessories Including Handbags",321
Leather Products,322
Leisure Equipment Hirings,323
Letter Boxes,324
Libraries,325
Lifting and Handling Equipment,326
Lighting,327
Lime Kilns,328
Linen Hire and Washroom Services,329
Lingerie and Hosiery,330
Literary Services,331
Livestock Farming,332
Local Government,333
"Lock, Key and Security Services",334
Locks,335
London Underground Entrances,336
Lubricants and Lubricating Equipment,337
"Luggage, Bags, Umbrellas and Travel Accessories",338
Mail Order and Catalogue Stores,339
Mailing and Other Information Services,340
Marine Engineers and Services,341
Marine Equipment Including Boats and Ships,342
Marketing Services,343
Markets,344
Martial Arts Instruction,345
Measurement and Inspection Equipment,346
Mechanical Engineers,347
"Medals, Trophies, Ceremonial and Religious Goods",348
Medical Equipment Rental and Leasing,349
"Medical Equipment, Supplies and Pharmaceuticals",350
Medical Waste Disposal Services,351
Members Of Parliament and Members Of European Parliament,352
Mental Health Centres and Practitioners,353
"Metals Manufacturers, Fabricators and Stockholders",354
Metalworkers Including Blacksmiths,355
Meteorological Features,356
Midwifery,357
"Milling, Refining and Food Additives",358
Mixed Or Unspecified Farming,359
Mobile Discos,360
Modelling and Theatrical Agencies,361
Moorings and Unloading Facilities,362
Mortgage and Financial Lenders,363
Motoring Organisations,364
Motorsport Services,365
Motorsport Venues,366
Motorway Service Stations,367
"Moulds, Dies and Castings",368
Municipal Parks and Gardens,369
Museums,370
Music Teachers and Schools,371
Music and Video,372
Musical Instruments,373
"Musicians, Orchestras and Composers",374
New Vehicles,375
Nightclubs,376
